id;uuid;permalink;name;alsoknownas;shortdescription;description;profileimageid;primaryrole;rolecompany;roleinvestor;rolegroup;roleschool;foundedon;foundedontrustcode;closedon;closedontrustcode;numemployeesmin;numemployeesmax;totalfundingusd;totalfundingvnd;stockexchange;stocksymbol;numberofinvestments;createdat;updatedat;permalinkaliases;investortype;contactemail;phonenumber;rank;primaryimageid;ownedbyid;headquartersid;acquiredbyid;ipoid;domain;homepageurl;facebookurl;twitterurl;linkedinurl;cityname;regionname;countrycode
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;30424;Albania web-readiness;false;true;true;false;2019-08-22T17:01:23;4666;2019-08-22T13:21:34;97375;36636;23277;45606;9060;Savings Account syndicate Planner;Refined Rubber Chicken Table;6505;2019-08-22T20:03:09;2019-08-21T21:35:52;Planner cross-platform access;Public-key;infomediaries;Investment Account;83319;3438;17336;90932;39106;25877;invoice;convergence;Mayotte;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands
2;compelling mission-critical;bifurcated scalable;Small;deliverables reinvent 24 hour;overriding;monitor 1080p Checking Account;92630;deposit Internal;true;true;false;false;2019-08-22T18:04:52;6355;2019-08-22T11:28:17;31098;66884;32518;66592;72960;withdrawal COM;embrace Developer;84891;2019-08-22T02:06:44;2019-08-22T03:02:58;Robust Networked;Poland;Small partnerships;Outdoors;63641;47537;31435;56327;50857;69551;Concrete Investment Account Saint Lucia;User-centric;Money Market Account;Salad Web virtual;Refined Squares;maroon;EXE projection Fresh;support Gorgeous
3;withdrawal;copying;ability Hat Iraq;magenta Concrete;User-centric Gloves;Mauritania;70301;robust Engineer;true;false;false;true;2019-08-22T08:26:13;71227;2019-08-22T13:09:00;14808;28484;99774;3688;26678;Analyst paradigms;encompassing;90826;2019-08-22T05:08:48;2019-08-22T14:37:17;Granite Berkshire Designer;Credit Card Account;navigate;Re-contextualized;80313;36778;47030;63230;98342;63352;Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon
4;Macao Equatorial Guinea Vision-oriented;Agent;Human deposit;even-keeled Saint Helena Pound;Internal AI optical;bypassing Marketing;78534;New Zealand Dollar Alabama transform;true;true;true;false;2019-08-22T13:33:25;16080;2019-08-22T13:02:32;54873;48561;69189;44842;65196;Devolved driver Networked;Fish;36646;2019-08-22T04:46:48;2019-08-22T02:30:40;alarm local area network Benin;turn-key dedicated;Wisconsin;target Human withdrawal;79481;35007;50263;64510;57690;66892;CSS Re-contextualized;local Shoes;Intelligent Frozen Sausages Villages;Human;back up Factors;architectures;Wisconsin Facilitator Incredible;reinvent
5;eco-centric Bedfordshire mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;81011;HDD;true;false;true;false;2019-08-22T08:20:05;62789;2019-08-22T01:12:43;19427;64996;7094;70196;39678;Unbranded Fresh Pants Tools California;North Dakota Garden;46559;2019-08-22T16:39:00;2019-08-22T07:20:51;stable Utah Computers;Licensed Plastic Pants;Plastic South Georgia and the South Sandwich Islands;composite Orchestrator Club;84202;5168;19438;53135;41135;54063;deposit panel Strategist;card Licensed Cotton Ball;mindshare Gorgeous;Chips;navigating;Som Rustic Frozen Keyboard ROI;Benin;Tuna Response invoice
6;alarm Jamaica;system Gorgeous Rubber Pants;hack;leading-edge;Ergonomic Steel Gloves;Developer Shoes Music;76336;online e-business;false;false;true;false;2019-08-22T19:13:03;61585;2019-08-21T21:35:30;63509;88668;4530;26089;37461;Personal Loan Account;Cambridgeshire Norfolk Island;68396;2019-08-22T16:27:38;2019-08-22T05:35:26;Web;Outdoors New York Data;Jamaican Dollar North Carolina;Station;54561;82063;94146;62593;38610;82042;invoice teal analyzing;Fantastic;Ergonomic Rubber Chicken;Handcrafted Plastic Shirt quantifying;wireless;hybrid;Solomon Islands Dollar;Personal Loan Account HTTP
7;schemas Specialist China;quantify multi-byte;interface Cotton Robust;user-centric Infrastructure;Managed Dobra application;Fantastic;90255;Berkshire navigating;false;false;true;false;2019-08-22T11:01:49;5348;2019-08-22T20:06:39;95854;90538;84714;9128;35490;Usability;Applications Missouri deposit;44844;2019-08-22T18:10:12;2019-08-22T13:20:02;knowledge user Danish Krone;Data neural Wooden;Cambridgeshire Tasty Rubber Car mindshare;Guam bandwidth Liaison;68803;76151;83696;61821;86686;10112;Practical Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;exploit transition;User-centric Principal Pennsylvania;repurpose Sleek;mesh system Triple-buffered;Cotton;Advanced grow
8;Handmade Wooden Cheese Fresh;input Naira;Markets;Glen Refined;Mandatory Assistant;Strategist;55600;success;false;true;true;true;2019-08-21T22:18:44;7379;2019-08-22T14:17:57;55385;69541;96930;7543;52309;Savings Account;heuristic Orchestrator Naira;38420;2019-08-21T22:44:36;2019-08-22T02:40:50;Product;Brand Regional Court;B2B Mouse;Junctions one-to-one;58365;26593;7773;36034;97439;25994;Ridges Beauty dynamic;multi-byte Pound Sterling;Frozen;parsing;models New Mexico District;Accountability;Aruba Chair portals;online Strategist Shirt
9;navigate redefine;generating bypassing Bypass;Plastic Movies;SMS;Zimbabwe parse Customer;input Accounts;84964;Ergonomic Falls;false;false;true;false;2019-08-22T05:49:22;20722;2019-08-22T14:53:01;87822;67170;75699;61812;4689;background Baby;Kyrgyz Republic transmit;52016;2019-08-22T12:59:04;2019-08-21T23:55:08;Vietnam California PNG;Connecticut Burg;transmit Credit Card Account;digital Corporate Checking Account;98046;35058;60808;58991;63664;39224;partnerships International;Luxembourg Spurs;empower Home Loan Account SMS;back-end Via indexing;Business-focused Canyon Orchestrator;frictionless orchid;Future-proofed Awesome;Creek
10;Shirt Metal;Mouse Rupiah;Human Mission;Officer Savings Account Automated;Pants even-keeled Chair;Brazil;53442;sticky Regional;false;true;false;true;2019-08-22T12:39:11;3931;2019-08-22T18:09:21;79941;48114;62790;68778;8175;GB Regional;Home;86830;2019-08-22T01:01:20;2019-08-22T18:20:33;Savings Account Manager Guyana;Bedfordshire Auto Loan Account back-end;monitor Small Wooden Ball;feed;89520;84444;51167;74961;53211;3047;ADP;Hungary Configurable;interface;Toys;overriding;internet solution;Total;Investment Account Indian Rupee
